,Grad,Opstina,Naselje,Ulica,Tip,Kvadratura,Broj soba,Cena
10966,Beograd,Palilula,Profesorska kolonija,Čarlija Čaplina,Stan,60,2.0,91000
10967,Beograd,Rakovica,Labudovo brdo,Bubanjskih zrtava,Stan,70,2.5,57000
10968,Beograd,Stari grad,Atelje 212,Stevana Sremca,Stan,102,3.0,228000
10969,Beograd,Zemun,Save Kovačevića,SAVE BURICA,Stan,42,1.5,51000
10970,Beograd,Vračar,Bulevar kralja Aleksandra,PATRIJARHA GAVRILA,Stan,117,4.0,255000
10971,Beograd,Zemun,Meandri,BACKA,Stan,71,3.0,71000
10972,Beograd,Novi Beograd,Blok 33,BULEVAR ARSENIJA CARNOJEVICA,Stan,90,3.0,114000
10973,Beograd,Zvezdara,Mirijevo,Raše Pavlovića,Stan,64,2.0,62000
10974,Beograd,Stari grad,Dorćol,Tadeuša Košćuška,Stan,45,2.0,72000
10975,Beograd,Stari grad,Kalemegdan,Gospodar Jevremova,Stan,67,2.0,120000
10976,Beograd,Vračar,Kalenić pijaca,Sinđelićeva,Stan,89,3.0,120000
10977,Beograd,Palilula,Karaburma,Mirijevski bulevar,Stan,52,2.0,46900
10978,Beograd,Palilula,Karaburma,Patrisa Lumumba,Stan,56,3.0,52000
10979,Beograd,Novi Beograd,Stari Merkator,OTONA ZUPANCICA,Stan,74,2.5,80000
10980,Beograd,Rakovica,Kanarevo brdo,Vukasovićeva,Stan,55,2.5,56000
10981,Beograd,Vračar,Crveni krst,Sazonova,Stan,67,2.0,146000
10982,Beograd,Zemun,Centar,VRTLARSKA,Stan,37,1.0,46200
10983,Beograd,Zvezdara,Kluz,Vladimira Gortana,Stan,172,5+,230000
10984,Beograd,Zemun,Zemun polje,Akrobate Aleksića,Stan,60,2.0,47000
10985,Beograd,Čukarica,Čukarička padina,Stevana Đurđevića Trošarinca,Stan,41,1.5,49000
10986,Beograd,Zemun,Centar,Džona Kenedija,Stan,79,3.0,130000
10987,Beograd,Vračar,Beogradska,Resavska,Stan,108,3.0,199000
10988,Beograd,Stari grad,Skupština,Palmotićeva,Stan,44,2.0,65000
10989,Beograd,Rakovica,Labudovo brdo,Gočka,Stan,45,1.5,42000
10990,Beograd,Voždovac,Saobraćajni fakultet,Vojvode Stepe,Stan,92,3.0,122000
10991,Beograd,Palilula,Profesorska kolonija,Primorska,Stan,73,3.0,120450
10992,Beograd,Palilula,Profesorska kolonija,Primorska,Stan,76,3.0,125400
10993,Beograd,Palilula,Profesorska kolonija,Primorska,Stan,148,5.0,244200
10994,Beograd,Palilula,Borča,Bele Bartoka,Stan,70,3.0,60000
10995,Beograd,Čukarica,Cerak,VLADIMIRA ROLOVICA                                ,Stan,83,3.0,97000
