,Grad,Opstina,Naselje,Ulica,Tip,Kvadratura,Broj soba,Grejanje,Sprat,Ukupna spratnost,Cena
2878,Beograd,Opština Stari grad,Dorćol,Carigradska,Stan,48.0,1.5,CG,1,4,96000.0
2879,Beograd,Opština Voždovac,Vitanovačka,Vitanovačka,Stan,35.0,1.5,EG,2,3,40000.0
2880,Beograd,Opština Vračar,Crveni krst,Kajmakčalanska,Stan,135.0,4.0,CG,4,6,297000.0
2881,Beograd,Opština Vračar,Crveni krst,Bregalnička,Stan,29.0,1.5,CG,PR,5,57500.0
2882,Beograd,Opština Novi Beograd,Blok 34 (Carina - Studentski grad),Bulevar Zorana Đinđića,Stan,70.0,2.5,CG,16,18,77000.0
2883,Beograd,Opština Voždovac,Kumodraž,Hrizantema,Stan,51.0,2.0,TA,3,3,56000.0
2884,Beograd,Opština Čukarica,Čukarička padina,Obalskih radnika 29,Stan,71.0,3.0,CG,2,7,87000.0
2885,Beograd,Opština Novi Beograd,Bežanijska kosa 2,Pedje Milosavljevića,Stan,85.0,3.5,CG,PR,5,92990.0
2886,Beograd,Opština Voždovac,Dušanovac,Tomazeova,Stan,42.0,1.5,EG,4,5,58800.0
2887,Beograd,Opština Voždovac,Banjica,Bulevar oslobođenja,Stan,76.0,3.0,CG,PR,6,98000.0
2888,Beograd,Opština Savski venac,Klinički centar,Vojvode Milenka,Stan,67.0,2.5,CG,1,3,138000.0
2889,Beograd,Opština Rakovica,Miljakovac,Miljakovački vinogradi,Stan,80.0,3.0,EG,PR,1,59000.0
2890,Beograd,Opština Vračar,Crveni krst,Kajmakčalanska,Stan,116.0,4.0,CG,4,6,255200.0
2891,Beograd,Opština Rakovica,Skojevsko naselje,Luke Vojvodića,Stan,61.0,2.0,CG,2,7,58500.0
2892,Beograd,Opština Zvezdara,Vukov Spomenik,Zahumska,Stan,73.0,3.0,CG,5,5,127917.0
2893,Beograd,Opština Zemun,Batajnica,Bojčinska (iza Maxija),Stan,65.0,2.0,CG,4,5,55000.0
2894,Beograd,Opština Novi Beograd,Blok 44 (TC Piramida),Nehruova,Stan,66.0,2.0,CG,VPR,7,79000.0
2895,Beograd,Opština Zemun,Kalvarija,V.Nikolića,Stan,45.0,1.5,TA,PSUT,2,37900.0
2896,Beograd,Opština Voždovac,Autokomanda,Ranka Tajsića,Stan,43.0,2.0,EG,1,3,87000.0
2897,Beograd,Opština Voždovac,Braće Jerković,Braće Jerković,Stan,95.0,3.5,CG,4,11,90000.0
2898,Beograd,Opština Zvezdara,Mirijevo,Tribalska,Stan,33.0,1.0,EG,3,3,26000.0
2899,Beograd,Opština Zvezdara,Mirijevo,Dragoslava Srejovića,Stan,58.0,3.0,EG,2,3,60610.0
2900,Beograd,Opština Novi Beograd,Blok 38,Bulevar Milutina Milankovića,Stan,74.0,2.5,CG,PR,18,84000.0
2901,Beograd,Opština Vračar,Hram svetog Save,Sokolska,Stan,83.0,3.5,CG,PR,3,175000.0
2902,Beograd,Opština Zvezdara,Lion,Vranjska,Stan,84.0,3.0,CG,13,15,99000.0
2903,Beograd,Opština Zvezdara,Mirijevo,Mirijevski venac,Stan,80.0,3.0,CG,VPR,6,70000.0
2904,Beograd,Opština Stari grad,Centar,Kralja Petra,Stan,100.0,3.0,CG,4,4,220000.0
2905,Beograd,Opština Čukarica,Banovo brdo,Žarka Vukovića Pucara,Stan,73.0,3.5,CG,12,13,75000.0
2906,Beograd,Opština Novi Beograd,Blok 70 (kineski tržni centar),Jurija Gagarina,Stan,87.0,3.0,CG,1,13,106000.0
2907,Beograd,Opština Zemun,Meandri,ZAGORSKA,Stan,79.0,2.5,CG,1,6,67000.0
2908,Beograd,Opština Novi Beograd,Blok 63,Nehruova,Stan,87.0,3.0,CG,14,18,73950.0
2909,Beograd,Opština Palilula,Karaburma,Salvadora Aljendea,Stan,44.0,1.5,TA,3,4,48000.0
2910,Beograd,Opština Stari grad,Topličin venac,Topličin Venac,Stan,65.0,3.0,CG,4,8,139000.0
2911,Beograd,Opština Novi Beograd,Blok 29,Bulevar Umetnosti,Stan,96.0,4.0,CG,3,7,122000.0
2912,Beograd,Opština Novi Beograd,Stari Merkator,Bulevar Mihajla Pupina,Stan,63.0,2.5,CG,8,8,74500.0
2913,Beograd,Opština Novi Beograd,Dr Ivana Ribara,Dr.Ivana Ribara,Stan,100.0,3.5,CG,1,7,90000.0
2914,Beograd,Opština Savski venac,Senjak,ISTARSKA,Stan,154.0,4.0,CG,1,2,480000.0
2915,Beograd,Opština Zvezdara,Mirijevo,Vitezova Karađorđeve zvezde,Stan,63.0,2.0,EG,2,3,51000.0
2916,Beograd,Opština Novi Beograd,Blok 63,nehruova,Stan,87.0,3.0,CG,14,17,72990.0
2917,Beograd,Opština Čukarica,Filmski grad,ANE AHMETOVE,Stan,56.0,2.0,CG,1,5,69000.0
2918,Beograd,Opština Vračar,SC Vračar,TOMASA JEZA,Stan,92.0,3.0,CG,2,4,190000.0
2919,Beograd,Opština Voždovac,Lekino brdo,Đorđa Kratovca,Stan,51.0,2.5,CG,1,4,80000.0
2920,Beograd,Opština Zvezdara,Gradska bolnica,Dimitrija Tucovića,Stan,85.0,3.0,EG,7,8,119000.0
2921,Beograd,Opština Zemun,Meandri,Zagorska,Stan,78.0,2.5,CG,4,5,75000.0
2922,Beograd,Opština Palilula,Karaburma,Pere Cetkovica,Stan,55.0,2.0,TA,4,5,52000.0
2923,Beograd,Opština Voždovac,Banjica,Paunova,Stan,74.0,3.0,CG,11,12,74000.0
2924,Beograd,Opština Voždovac,Medaković 3,Borivoja Stevanovića,Stan,54.0,1.5,CG,1,8,63000.0
2925,Beograd,Opština Rakovica,Miljakovac,Bogdana Žerajića,Stan,109.0,3.0,TA,1,1,119900.0
2926,Beograd,Opština Voždovac,Braće Jerković,Braće Jerković,Stan,61.0,2.0,CG,7,10,57000.0
2927,Beograd,Opština Čukarica,Banovo brdo,Petra Mećave,Stan,52.0,2.0,CG,1,5,64500.0
2928,Beograd,Opština Rakovica,Miljakovac,Slavoljuba Vuksanovića,Stan,100.0,4.0,CG,1,3,106000.0
2929,Beograd,Opština Voždovac,Banjica,Paunova,Stan,74.0,3.5,CG,4,12,83000.0
2930,Beograd,Opština Voždovac,Konjarnik,Blagajska,Stan,47.0,1.0,CG,VPR,4,53900.0
2931,Beograd,Opština Novi Beograd,Bežanijska kosa 1,NIKOLE DOBROVICA,Stan,62.0,2.0,CG,1,4,75900.0
2932,Beograd,Opština Rakovica,Petlovo brdo,Mrakovička,Stan,60.0,2.5,TA,1,2,54000.0
2933,Beograd,Opština Čukarica,Cerak,Venčačka,Stan,65.0,3.0,EG,3,4,65000.0
2934,Beograd,Opština Zvezdara,Mirijevo,Ljubiše Miodragovića,Stan,62.0,2.5,EG,2,3,61000.0
2935,Beograd,Opština Novi Beograd,Bežanijska kosa 3,Milana Vujaklije,Stan,62.0,2.0,CG,6,6,65000.0
