,Unnamed: 0,Ulica,Koordinate,Od centra
219,592,mitra trifunovica uce,"(44.89553069999999, 20.4676997)",6.478908454
220,540,mese selimovica,"(44.79458899999999, 20.5369869)",6.459674397000001
221,891,surcinski put,"(44.8263283, 20.3812473)",6.453970721
222,752,radovana milosevica,"(44.75339959999999, 20.4109975)",6.449585107000001
223,728,prote milorada pavlovica,"(44.7549344, 20.4091351)",6.448109983999999
224,694,pere segedinca,"(44.81124579999999, 20.3809954)",6.430559307
225,745,rabelova,"(44.7877727, 20.5343485)",6.428764892999999
226,746,rableova,"(44.7877727, 20.5343485)",6.428764892999999
227,747,rada koncara,"(44.841911, 20.3852713)",6.427065879
228,721,pregrevica,"(44.8547542, 20.3915316)",6.392734767
229,4,visnjicki venac,"(44.8181389, 20.5388707)",6.378647456
230,133,breza,"(44.74751699999999, 20.4215518)",6.369272682
231,935,trscanska,"(44.8545568, 20.3921915)",6.3383136
232,480,ljubice ivosevic dimitrov,"(44.7488363, 20.4202607)",6.329261222
233,481,ljubice ivosevic,"(44.7488363, 20.4202607)",6.329261222
234,781,silerova,"(44.84492909999999, 20.3879805)",6.306979365
235,402,kestenova,"(44.7479257, 20.423533)",6.262683286000001
236,382,kadinjacka,"(44.7488834, 20.4218935)",6.259300139
237,696,petefijeva,"(44.7510766, 20.4183458)",6.256694123
238,574,miljakovacki vinogradi,"(44.7391059, 20.4542664)",6.246091604
239,704,petrarkina,"(44.7906275, 20.5326803)",6.222476539
240,849,slobodana jovanovica,"(44.8163508, 20.5366126)",6.19324017
241,1050,zlatiborska,"(44.78072909999999, 20.5277134)",6.1715013160000005
242,647,omorika,"(44.7475988, 20.4267807)",6.16594588
243,1008,vodovodska,"(44.7609441, 20.4078887)",6.15181804
244,184,dragana rakica,"(44.8465323, 20.3909227)",6.13765019
245,1052,zmajevacka,"(44.762127, 20.4071889)",6.122375139
246,585,mirijevski venac,"(44.7918319, 20.5316822)",6.114269889
247,263,gandijeva,"(44.8068876, 20.3853732)",6.1087224760000005
248,843,slanacki put,"(44.8152068, 20.5354647)",6.100410266
249,328,ilije djuricica,"(44.7593988, 20.4109171)",6.079158852000001
250,814,sava burica,"(44.8445888, 20.3911829)",6.056252292000001
251,11,16. oktobar,"(44.7880687, 20.5294825)",6.0527203279999995
252,875,stevana lukovica,"(44.74470820000001, 20.4379767)",6.047907534
253,267,grge jankesa,"(44.7926156, 20.5310222)",6.043436552
254,932,tribalska,"(44.7838848, 20.5274813)",6.040479561000001
255,748,radivoja markovica,"(44.7916969, 20.5306578)",6.039209367000001
256,1054,zorina,"(44.7588259, 20.4124244)",6.035143001000001
257,125,"brace jerkovic, kod okretnice","(44.789116, 20.5294515)",6.019209655
258,1068,okretnica,"(44.789116, 20.5294515)",6.019209655
259,597,mice radakovica,"(44.8428526, 20.3910473)",6.013958242999999
260,1036,zagradje br. 2,"(44.7965788, 20.5318159)",6.012844575
