,Grad,Opstina,Naselje,Ulica,Tip,Kvadratura,Broj soba,Grejanje,Sprat,Ukupna spratnost,Cena
5980,Beograd,Opština Savski venac,Dedinje,augusta cesarca,Stan,200.0,4.0,Gas,2,2,360000.0
5201,Beograd,Opština Savski venac,Topčider,augusta cesarca,Stan,165.0,4.0,EG,2,3,420000.0
2108,Beograd,Opština Palilula,Kotež,augusta senoe,Stan,115.0,4.0,EG,2,2,55000.0
353,Beograd,Opština Palilula,Kotež,augusta senoe,Stan,115.0,4.0,EG,2,2,55000.0
1229,Beograd,Opština Čukarica,Železnik,avalska,Stan,68.0,3.5,EG,VPR,4,58000.0
3031,Beograd,Opština Čukarica,Železnik,avalska,Stan,68.0,3.5,EG,VPR,4,58000.0
2803,Beograd,Opština Čukarica,Novi Železnik,avalska 5,Stan,62.0,2.0,EG,VPR,5,47000.0
1119,Beograd,Opština Čukarica,Novi Železnik,avalska 5,Stan,62.0,2.0,EG,VPR,5,47000.0
3749,Beograd,Opština Zvezdara,Gradska bolnica,bana ivanisa,Stan,70.0,4.0,EG,1,4,93000.0
2260,Beograd,Opština Zvezdara,Vukov Spomenik,banjska,Stan,65.0,3.0,TA,2,4,79000.0
462,Beograd,Opština Zvezdara,Vukov Spomenik,banjska,Stan,65.0,3.0,TA,2,4,79000.0
1280,Beograd,Opština Savski venac,Centar,bircaninova,Stan,35.0,0.5,TA,4,5,67000.0
2799,Beograd,Opština Savski venac,Centar,bircaninova,Stan,35.0,0.5,TA,4,5,67000.0
4435,Beograd,Opština Grocka,Kaluđerica,bore stankovica br. 2,Stan,39.0,2.0,Norveški radijatori,1,3,27300.0
5500,Beograd,Opština Rakovica,Miljakovac,borska,Stan,49.0,1.5,CG,7,7,70000.0
1735,Beograd,Opština Voždovac,Braće Jerković,brace jerkovic,Stan,62.0,2.0,CG,1,11,63000.0
5196,Beograd,Opština Voždovac,Braće Jerković,brace jerkovic,Stan,62.0,2.5,CG,5,7,63000.0
95,Beograd,Opština Voždovac,Braće Jerković,brace jerkovic,Stan,62.0,2.0,CG,1,11,63000.0
4422,Beograd,Opština Voždovac,Braće Jerković,brace jerkovic,Stan,75.0,3.0,EG,VPR,5,67900.0
1036,Beograd,Opština Zvezdara,Dimitrija Tucovića,brace ribnikar,Stan,47.0,2.0,TA,2,4,58500.0
2793,Beograd,Opština Zvezdara,Dimitrija Tucovića,brace ribnikar,Stan,47.0,2.0,TA,2,4,58500.0
3867,Beograd,Opština Voždovac,Medaković 3,brace srnic,Stan,92.0,2.5,CG,VPR,7,75000.0
4667,Beograd,Opština Voždovac,Medaković 3,brace srnic,Stan,61.0,2.5,CG,6,8,67900.0
662,Beograd,Opština Novi Beograd,Blok 21,Bulevarz djindjica,Stan,62.0,2.5,CG,4,5,76000.0
2055,Beograd,Opština Novi Beograd,Blok 21,Bulevarz djindjica,Stan,62.0,2.5,CG,4,5,76000.0
4930,Beograd,Opština Novi Beograd,Blok 33,Bulevar zorana djindjica,Stan,81.0,3.0,CG,1,8,105000.0
4746,Beograd,Opština Palilula,Bulevar despota Stefana,bulevar despota stefana,Stan,92.0,3.0,CG,4,4,98000.0
3572,Beograd,Opština Novi Beograd,Arena,bulevar dr. zorana djindjica,Stan,124.0,5.0,CG,3,5,204000.0
3938,Beograd,Opština Novi Beograd,Arena,Bulevar zorana djindjica,Stan,122.0,5.0,CG,4,6,245000.0
